"Class","SideChain","Age","syd_New"
"TG e_ether","20:0","1 ",81.1701
"TG e","19:0","1 ",5.1727
"TG e_ether","18:3","1 ",10.3454
"TG e","18:2","1 ",0
"TG e","18:1","1 ",75.4204
"TG e_ether","18:0","1 ",8.4845
"TG e","17:0","1 ",5.1727
"TG e","16:1","1 ",9.887
"TG e","16:0","1 ",4.3472
"TG e_ether","14:1","1 ",0
"TG e","11:3","1 ",0
"TG e_ether","20:0","19 ",25.0989
"TG e","19:0","19 ",10.1802
"TG e_ether","18:3","19 ",20.3605
"TG e","18:2","19 ",9.5126
"TG e","18:1","19 ",22.4771
"TG e_ether","18:0","19 ",29.2653
"TG e","17:0","19 ",10.1802
"TG e","16:1","19 ",17.7577
"TG e","16:0","19 ",14.1294
"TG e_ether","14:1","19 ",19.0253
"TG e","11:3","19 ",9.5126
"PE e","24:2","1 ",46.3853
"PE p","24:2","1 ",45.5185
"PE p","24:0","1 ",30.1249
"PE e","22:6","1 ",9.0101
"PC e_ether","20:0","1 ",92.3077
"PE e_ether","20:0","1 ",35.9962
"PE e","18:3","1 ",16.2545
"PE p","18:3","1 ",8.4005
"PE e","18:2","1 ",13.8072
"PE e","18:1","1 ",13.7365
"PE p","18:1","1 ",13.4014
"PE p_vinylether","18:0","1 ",24.3566
"PE e_ether","16:1","1 ",7.6498
"PE e_ether","16:0","1 ",9.0101
"PC e","14:1","1 ",92.3077
"PE e_ether","12:0","1 ",46.3853
"PE p_vinylether","12:0","1 ",68.61
"PE p_vinylether","10:0","1 ",7.0334
"PE e","24:2","19 ",35.2516
"PE p","24:2","19 ",37.9702
"PE p","24:0","19 ",43.9591
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",41.0767
"PE e","18:3","19 ",18.7464
"PE e","18:2","19 ",11.2871
"PE e","18:1","19 ",34.715
"PE p","18:1","19 ",14.3378
"PE p_vinylether","18:0","19 ",18.0707
"PE e_ether","16:1","19 ",22.1311
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",35.2516
"PE p_vinylether","12:0","19 ",68.2337
"PE p_vinylether","10:0","19 ",13.6956
"DG","20:4","1 ",7.3687
"DG","20:0","1 ",10.3045
"DG","18:3","1 ",8.2387
"DG","18:2","1 ",13.743
"TG","18:2","1 ",8.7354
"DG","18:1","1 ",9.4406
"TG","18:1","1 ",20.2901
"DG","18:0","1 ",3.622
"TG","18:0","1 ",5.9314
"DG","16:1","1 ",41.2885
"TG","16:1","1 ",9.4863
"DG","16:0","1 ",4.1429
"TG","16:0","1 ",23.1171
"DG","20:4","19 ",5.2915
"DG","20:0","19 ",6.6784
"DG","18:3","19 ",7.7964
"DG","18:2","19 ",15.8315
"TG","18:2","19 ",7.2933
"DG","18:1","19 ",22.3724
"TG","18:1","19 ",20.4112
"DG","18:0","19 ",2.2842
"TG","18:0","19 ",5.1346
"DG","16:1","19 ",27.954
"TG","16:1","19 ",19.1787
"DG","16:0","19 ",5.1599
"TG","16:0","19 ",34.9069
"PG","24:2","1 ",7.4664
"CL","22:6","1 ",5.5544
"CL","18:4","1 ",4.2304
"CL","18:3","1 ",13.4183
"LPC","18:3","1 ",19.8964
"PC","18:3","1 ",15.5465
"PE","18:3","1 ",28.0645
"PG","18:3","1 ",24.2096
"PI","18:3","1 ",30.4498
"PS","18:3","1 ",24.5966
"CL","18:2","1 ",41.7693
"LPC","18:2","1 ",18.8997
"PC","18:2","1 ",12.9715
"PE","18:2","1 ",6.3174
"PG","18:2","1 ",13.5098
"PI","18:2","1 ",13.46
"PS","18:2","1 ",8.2633
"LPC","18:1","1 ",30.9366
"PC","18:1","1 ",15.2177
"PE","18:1","1 ",30.1179
"PG","18:1","1 ",10.6757
"PI","18:1","1 ",21.1463
"PS","18:1","1 ",52.2304
"PE","18:0","1 ",8.2583
"PI","18:0","1 ",8.5689
"PS","18:0","1 ",7.5327
"CL","16:1","1 ",23.071
"LPC","16:1","1 ",13.0876
"PC","16:1","1 ",15.364
"PE","16:1","1 ",4.7713
"PG","16:1","1 ",3.9319
"PI","16:1","1 ",4.102
"LPC","16:0","1 ",11.4285
"PC","16:0","1 ",37.056
"PE","16:0","1 ",21.8447
"PG","16:0","1 ",32.7402
"PI","16:0","1 ",22.2729
"PS","16:0","1 ",7.1082
"CL","14:0","1 ",5.6497
"PG","10:2","1 ",7.4664
"PG","24:2","19 ",9.9531
"PS","19:0","19 ",11.6571
"CL","18:3","19 ",9.0753
"LPC","18:3","19 ",6.0408
"PC","18:3","19 ",5.9502
"PE","18:3","19 ",15.5356
"PG","18:3","19 ",12.1747
"PI","18:3","19 ",18.4541
"PS","18:3","19 ",16.863
"CL","18:2","19 ",28.5225
"LPC","18:2","19 ",7.7058
"PE","18:2","19 ",11.7671
"PG","18:2","19 ",9.965
"PI","18:2","19 ",17.6941
"PS","18:2","19 ",4.6243
"LPC","18:1","19 ",38.4195
"PC","18:1","19 ",24.6191
"PE","18:1","19 ",28.4633
"PG","18:1","19 ",11.3921
"PI","18:1","19 ",18.1694
"PS","18:1","19 ",54.2104
"PE","18:0","19 ",7.0815
"PI","18:0","19 ",11.5993
"PS","18:0","19 ",5.7149
"CL","16:1","19 ",45.3174
"LPC","16:1","19 ",35.3059
"PC","16:1","19 ",38.7134
"PE","16:1","19 ",10.0084
"PG","16:1","19 ",15.474
"PI","16:1","19 ",12.1503
"LPC","16:0","19 ",6.6931
"PC","16:0","19 ",24.5499
"PE","16:0","19 ",22.4839
"PG","16:0","19 ",31.0882
"PI","16:0","19 ",21.9327
"PG","10:2","19 ",9.9531
